date,country,location,number,description,line
10/17/2016,Syria,Abu Kamal,1,strike destroyed six oil tanker trucks and an oil pump jack.,"- Near Abu Kamal, one strike destroyed six oil tanker trucks and an oil pump jack."
10/17/2016,Syria,Ar Raqqah,1,strike destroyed two oil pump jacks.,"- Near Ar Raqqah, one strike destroyed two oil pump jacks."
10/17/2016,Syria,Dayr Az Zawr,2,strikes engaged four ISIL supply routes.,"- Near Dayr Az Zawr, two strikes engaged four ISIL supply routes."
10/17/2016,Syria,Manbij,1,strike engaged an ISIL tactical unit and destroyed a vehicle.,"- Near Manbij, one strike engaged an ISIL tactical unit and destroyed a vehicle."
10/17/2016,Syria,Mar’a,1,strike engaged an ISIL tactical unit.,"- Near Mar’a, one strike engaged an ISIL tactical unit."
10/17/2016,Iraq,Kisik,1,strike destroyed an ISIL artillery system and a tunnel.,"- Near Kisik, one strike destroyed an ISIL artillery system and a tunnel."
10/17/2016,Iraq,Mosul,4,"strikes engaged three ISIL tactical units, two staging areas, 12 assembly areas, and a bridge; destroyed six tunnel entrances, five supply caches, four repeater tower generators, four mortar systems, a repeater tower, four repeater antennas, four solar panels, two artillery systems, two vehicles, two tunnels, and an anti-air artillery system; damaged a trench tunnel network; and suppressed three mortar systems.","- Near Mosul, four strikes engaged three ISIL tactical units, two staging areas, 12 assembly areas, and a bridge; destroyed six tunnel entrances, five supply caches, four repeater tower generators, four mortar systems, a repeater tower, four repeater antennas, four solar panels, two artillery systems, two vehicles, two tunnels, and an anti-air artillery system; damaged a trench tunnel network; and suppressed three mortar systems."
10/17/2016,Iraq,Qayyarah,1,strike engaged an ISIL tactical unit and destroyed two ISIL-held buildings and two mortar systems.,"- Near Qayyarah, one strike engaged an ISIL tactical unit and destroyed two ISIL-held buildings and two mortar systems."
10/17/2016,Iraq,Rawah,2,strikes engaged an ISIL VBIED factory and destroyed a vehicle and a VBIED.,"- Near Rawah, two strikes engaged an ISIL VBIED factory and destroyed a vehicle and a VBIED."
10/17/2016,Iraq,Sinjar,1,strike engaged an ISIL tactical unit.,"- Near Sinjar, one strike engaged an ISIL tactical unit."
10/17/2016,Iraq,Tal Afar,2,"strikes engaged an ISIL tactical unit, two staging areas, and a headquarters building; destroyed a mortar system; and suppressed two mortar positions.","- Near Tal Afar, two strikes engaged an ISIL tactical unit, two staging areas, and a headquarters building; destroyed a mortar system; and suppressed two mortar positions."
10/16/2016,Syria,Abu Kamal,1,strike engaged an ISIL supply route.,"- Near Abu Kamal, one strike engaged an ISIL supply route."
10/16/2016,Syria,Ar Raqqah,4,strikes engaged three ISIL supply routes and destroyed a vehicle.,"- Near Ar Raqqah, four strikes engaged three ISIL supply routes and destroyed a vehicle."
10/16/2016,Syria,Dayr Az Zawr,1,strike engaged an ISIL supply route.,"- Near Dayr Az Zawr, one strike engaged an ISIL supply route."
10/16/2016,Syria,Manbij,1,strike engaged an ISIL tactical unit and destroyed a fighting position,"- Near Manbij, one strike engaged an ISIL tactical unit and destroyed a fighting position"
10/16/2016,Syria,Mar’a,3,strikes engaged two ISIL tactical units and destroyed two tactical units.,"- Near Mar’a, three strikes engaged two ISIL tactical units and destroyed two tactical units."
10/16/2016,Syria,Palmyra,3,strikes engaged an ISIL tactical unit and destroyed a vehicle and a heavy machine gun.,"- Near Palmyra, three strikes engaged an ISIL tactical unit and destroyed a vehicle and a heavy machine gun."
10/16/2016,Iraq,Haditha,3,"strikes engaged an ISIL tactical unit; destroyed 11 rocket rails, six rocket systems, two vehicles, a weapons cache, and a mortar system; and damaged a tunnel system.","- Near Haditha, three strikes engaged an ISIL tactical unit; destroyed 11 rocket rails, six rocket systems, two vehicles, a weapons cache, and a mortar system; and damaged a tunnel system."
10/16/2016,Iraq,Mosul,1,strike destroyed an ISIL weapons cache.,"- Near Mosul, one strike destroyed an ISIL weapons cache."
10/16/2016,Iraq,Qayyarah,1,"strike engaged an ISIL tactical unit; destroyed an ISIL-held building, a command and control node, an artillery system, and a remotely piloted aircraft; and suppressed a rocket system.","- Near Qayyarah, one strike engaged an ISIL tactical unit; destroyed an ISIL-held building, a command and control node, an artillery system, and a remotely piloted aircraft; and suppressed a rocket system."
10/16/2016,Iraq,Sultan Abdallah,1,strike engaged an ISIL weapons factory.,"- Near Sultan Abdallah, one strike engaged an ISIL weapons factory."
10/15/2016,Syria,Abu Kamal,2,strikes destroyed 19 ISIL oil tanker trucks and two oil well heads.,"- Near Abu Kamal, two strikes destroyed 19 ISIL oil tanker trucks and two oil well heads."
10/15/2016,Syria,Al Shadaddi,1,strike engaged an ISIL tactical unit and destroyed a fighting position.,"Near Al Shadaddi, one strike engaged an ISIL tactical unit and destroyed a fighting position."
10/15/2016,Syria,Ar Raqqah,1,strike destroyed an ISIL oil pump jack.,"Near Ar Raqqah, one strike destroyed an ISIL oil pump jack."
10/15/2016,Syria,Ayn Isa,1,strike engaged an ISIL headquarters building and a staging area.,"Near Ayn Isa, one strike engaged an ISIL headquarters building and a staging area."
10/15/2016,Syria,Mar’a,1,strike destroyed an ISIL improvised explosive device.,"Near Mar’a, one strike destroyed an ISIL improvised explosive device."
10/15/2016,Syria,Palmyra,1,strike destroyed two ISIL vehicles.,"Near Palmyra, one strike destroyed two ISIL vehicles."
10/15/2016,Iraq,Al Huwayjah,1,strike engaged an ISIL headquarters building.,"- Near Al Huwayjah, one strike engaged an ISIL headquarters building."
10/15/2016,Iraq,Mosul,6,"strikes engaged two ISIL tactical units and a media center; destroyed five rocket rails, four fighting positions, two supply caches, two vehicles, an anti-air artillery system, an ISIL-held building, a mortar system, and a headquarters building; damaged two T-walls; and suppressed another mortar system.","- Near Mosul, six strikes engaged two ISIL tactical units and a media center; destroyed five rocket rails, four fighting positions, two supply caches, two vehicles, an anti-air artillery system, an ISIL-held building, a mortar system, and a headquarters building; damaged two T-walls; and suppressed another mortar system."
10/15/2016,Iraq,Qayyarah,1,"strike engaged an ISIL tactical unit and destroyed an ISIL-held building, an ISIL vehicle, and a weapons cache.","- Near Qayyarah, one strike engaged an ISIL tactical unit and destroyed an ISIL-held building, an ISIL vehicle, and a weapons cache."
10/15/2016,Iraq,Sinjar,1,strike engaged an ISIL media center.,"- Near Sinjar, one strike engaged an ISIL media center."
